players,assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage,kd_ratio,damage_per_match,headshots_per_match,kills_per_match,,
1,2828,1692848,6410,iron,1366,9702,667,9271,1832300,14.55,197.64,0.69,1.05,,
2,2787,1315016,1879,iron,1157,4860,440,6893,978580,11.05,141.97,0.27,0.71,,
3,2785,1540524,3287,bronze,1308,7276,605,8329,1565588,12.03,187.97,0.39,0.87,,
4,2771,1553627,3174,iron,1423,5446,614,8681,1071070,8.87,123.38,0.37,0.63,,
5,2596,1621822,2688,iron,1300,6479,625,8839,1254742,10.37,141.96,0.30,0.73,,
6,2527,891518,1885,iron,876,5281,355,5181,990213,14.88,191.12,0.36,1.02,,
7,2318,1423665,5647,iron,912,10187,694,7379,1806897,14.68,244.87,0.77,1.38,,
8,2316,1244561,6058,iron,756,8505,569,6379,1610387,14.95,252.45,0.95,1.33,,
9,2200,1290842,2078,iron,996,5359,436,6527,989319,12.29,151.57,0.32,0.82,,
10,2111,1263387,1711,iron,988,6026,505,6737,1094285,11.93,162.43,0.25,0.89,,              
11,2099,875040,1320,iron,736,3858,343,5459,743680,11.25,136.23,0.24,0.71,,
12,2097,1184540,2260,iron,928,5822,430,6304,1096735,13.54,173.97,0.36,0.92,,
13,1865,1018298,1762,iron,1054,3802,347,5517,723522,10.96,131.14,0.32,0.69,,
14,1848,1350249,2665,iron,1156,6138,445,6864,1113057,13.79,162.16,0.39,0.89,,
15,1845,857488,1808,iron,704,3625,297,4471,716339,12.21,160.22,0.40,0.81,,
16,1825,991104,1912,iron,819,4244,350,5209,848510,12.13,162.89,0.37,0.81,,
17,1822,705649,2305,iron,575,3623,306,3986,707762,11.84,177.56,0.58,0.91,,
18,1788,1150754,3669,iron,774,6574,456,6318,1219515,14.42,193.02,0.58,1.04,,
19,1775,983906,3794,iron,820,5880,400,5377,1081021,14.70,201.05,0.71,1.09,,
20,1727,724910,1637,iron,711,3038,275,3962,580860,11.05,146.61,0.41,0.77,,
21,1715,1117375,2702,iron,947,5433,364,5893,1023107,14.93,173.61,0.46,0.92,,
22,1692,902066,1895,iron,820,4124,322,4722,821699,12.81,174.02,0.40,0.87,,
23,1629,1011592,1715,iron,847,4134,381,5347,823776,10.85,154.06,0.32,0.77,,
24,1619,678217,1264,iron,632,3053,236,3672,562497,12.94,153.19,0.34,0.83,,
25,1606,833119,1782,iron,767,4321,294,4444,770504,14.70,173.38,0.40,0.97,,
26,1560,1021377,2325,iron,726,5121,414,5316,938775,12.37,176.59,0.44,0.96,,
27,1559,836617,1983,iron,540,3965,343,4275,775333,11.56,181.36,0.46,0.93,,
